Taxonomic_Code,fed,diet,fao2002Grp
14118030XX,1,h,CATFISH
1705905102,1,h,TILAPIA
787XXXXXXX,0,0,ALGAE
1230100909,1,c,TROUT
1400200201,1,h,CARP
2280100112,1,o,FRESHWATER PRAWN
2280100120,1,o,FRESHWATER PRAWN
3160700205,0,0,BIVAVLVE
31607008XX,0,0,BIVAVLVE
3161000112,0,0,BIVAVLVE
1400204301,1,h,CARP
3161000105,0,0,BIVAVLVE
1703923508,1,c,OTHERCARNIV
1830300701,1,c,FLATFISH
1413000202,1,h,CATFISH
199XXXXXXX001,1,o,OTHER OMNIVOROUS
1732005101,1,c,OTHERCARNIV
14002XXXXX,1,h,OTHER OMNIVOROUS
1400203501,1,h,CARP
1761001302,1,h,OTHER OMNIVOROUS
17059051XX,1,h,TILAPIA
7870500202,0,0,ALGAE
1771900104,0,0,ALGAE
1400204302,1,o,CARP
1430200204,1,c,EEL
1400213201,1,o,CARP
1700116701,1,c,OTHERCARNIV
1400233501,1,h,OTHER OMNIVOROUS
1703202702,1,c,OTHERCARNIV
1703202707,1,c,OTHERCARNIV
199XXXXXXX010,1,o,OTHER OMNIVOROUS
1410801505,1,h,CATFISH
2281202307,1,o,FRESHWATER PRAWN
2311114001,1,o,CRAB
1380102304,1,c,OTHERCARNIV
13801XXXXX,1,o,OTHER OMNIVOROUS
13812001XX,1,h,OTHER OMNIVOROUS
1380107602,1,o,OTHER OMNIVOROUS
78712004XX,0,0,ALGAE
14110002XX,1,h,CATFISH
16302XXXXX,1,c,OTHERCARNIV
1650100102,1,o,OTHER OMNIVOROUS
1700102510,1,c,OTHERCARNIV
1230101005,1,c,OTHERCARNIV
1430200201,1,c,OTHERCARNIV
1830509201,1,c,OTHERCARNIV
1702301127,1,o,OTHER OMNIVOROUS
3161102002,0,0,BIVALVE
399XXXXXXX016,0,0,BIVALVE
6930400701,1,h,INVERT
1380107601,1,o,OTHER OMNIVOROUS
1703741101,1,c,OTHERCARNIV
1413000203,1,h,CATFISH
1400200701,1,c,OTHERCARNIV
1381200115,1,h,OTHER OMNIVOROUS
1412202102,1,h,OTHER OMNIVOROUS
14122090XX,1,h,OTHER OMNIVOROUS
1430200206,1,c,EEL
3161003202,0,0,BIVALVE
3160803004,0,0,BIVALVE
1240300101,1,c,OTHERCARNIV
5120100119,1,c,AMPH
3160700203,0,0,BIVALVE
3160700801,0,0,BIVALVE
3161000103,0,0,BIVALVE
3161002601,0,0,BIVALVE
3161003801,0,0,BIVALVE
3160803003,0,0,BIVALVE
1700634503,1,c,OTHERCARNIV
229XXXXXXX031,1,o,OTHER  CRUSTACEA
3162605005,0,0,BIVALVE
1702304703,1,c,OTHERCARNIV
2280100111,1,o,MARINE SHRIMP
1400200102,1,c,OTHERCARNIV
1411803003,1,h,CATFISH
1400201601,1,o,CARP
31610XXXXX,0,0,BIVALVE
11701XXXXX,1,c,OTHERCARNIV
1230100402,1,c,TROUT
696XXXXXXX,0,0,INVERT
699XXXXXXX,0,0,INVERT
7710200202,0,0,ALGAE
3160407112,0,0,BIVALVE
3160407107,0,0,BIVALVE
7710400301,0,0,ALGAE
7410700102,0,0,ALGAE
1230100908,1,c,SALMON
22812XXXXX045,1,o,FRESHWATER PRAWN
2311100404,1,o,CRAB
22901XXXXX,1,c,OTHER  CRUSTACEA
316XXXXXXX,0,0,BIVALVE
7872000208,0,0,ALGAE
799XXXXXXX,0,0,ALGAE
16501XXXXX,1,o,OTHER OMNIVOROUS
17002042XX,1,c,OTHERCARNIV
1701436103,1,c,OTHERCARNIV
12301010XX,1,c,OTHERCARNIV
14130002XX,1,h,CATFISH
78705014XX,0,0,ALGAE
1702304801,1,c,OTHERCARNIV
3162300203,0,0,BIVALVE
14302002XX,1,c,EEL
1703906006,1,c,OTHERCARNIV
1230100401,1,c,SALMON
1701400201,1,c,OTHERCARNIV
1411000202,1,h,CATFISH
1411803002,1,h,CATFISH
771XXXXXXX,0,0,ALGAE
1707700201,1,c,OTHERCARNIV
1220200101,1,h,MILKFISH
1702222101,1,c,OTHERCARNIV
17407001XX,1,o,OTHER OMNIVOROUS
1760900701,1,h,OTHER OMNIVOROUS
1701001402,1,c,OTHERCARNIV
1701021401,1,c,OTHERCARNIV
1630200203,1,c,OTHERCARNIV
1170100104,1,c,OTHERCARNIV
1170100112,1,c,OTHERCARNIV
2290517303,1,o,OTHER  CRUSTACEA
22801001XX,1,o,MARINE SHRIMP
1702300403,1,o,OTHER OMNIVOROUS
1702304802,1,c,OTHERCARNIV
51201001XX,1,c,AMPH
12301004XX,1,c,TROUT
1230301601,1,o,OTHER OMNIVOROUS
1830804601,1,c,FLATFISH
1400201602,1,h,OTHER HERBIV
1400202502,1,o,OTHER OMNIVOROUS
17719001XX,1,c,OTHERCARNIV
19009004XX,1,o,OTHER OMNIVOROUS
2280100116,1,o,FRESHWATER PRAWN
2280100109,1,o,FRESHWATER PRAWN
3070500202,0,0,BIVALVE
3160400507,0,0,BIVALVE
3160407101,0,0,BIVALVE
17039XXXXX,1,c,OTHERCARNIV
1703919115,1,c,OTHERCARNIV
2280100110,1,o,MARINE SHRIMP
3160806607,0,0,BIVALVE
3161000101,0,0,BIVALVE
17059313XX,1,o,OTHER OMNIVOROUS
2280901203,1,o,OTHER  CRUSTACEA
2311302803,1,o,CRAB
1700204205,1,c,OTHERCARNIV
5311102401,1,c,AMPH
3161101701,0,0,BIVALVE
1700204257,1,c,OTHERCARNIV
1280100101,1,c,OTHERCARNIV
1380101307,1,o,OTHER OMNIVOROUS
1380101330,1,o,OTHER OMNIVOROUS
1380104605,1,h,OTHER HERBIV
78726002XX,0,0,ALGAE
1705905104,1,h,TILAPIA
1700829701,1,c,OTHERCARNIV
1705905201,1,h,TILAPIA
1705905504,1,h,TILAPIA
399XXXXXXX014,0,0,BIVALVE
6940100302,1,h,INVERT
1705905101,1,h,TILAPIA
1705905517,1,h,TILAPIA
1400504701,1,o,OTHER OMNIVOROUS
299XXXXXXX013,1,o,OTHER  CRUSTACEA
30703001XX,0,0,BIVALVE
17406330XX,1,o,OTHER OMNIVOROUS
13806006XX,1,h,OTHER HERBIV
13816024XX,1,h,OTHER HERBIV
1381000101,1,c,OTHERCARNIV
74105001XX,0,0,ALGAE
1230100903,1,c,SALMON
1230100906,1,c,SALMON
1411000405,1,c,OTHERCARNIV
1830506401,1,c,OTHERCARNIV
1702304701,1,c,OTHERCARNIV
17032027XX,1,c,OTHERCARNIV
1703903307,1,c,OTHERCARNIV
12312001XX,1,c,OTHERCARNIV
123XXXXXXX,1,c,SALMON
183XXXXXXX,1,c,OTHERCARNIV
1761100601,1,o,OTHER OMNIVOROUS
1400202415,1,h,OTHER HERBIV
1400202503,1,o,OTHER OMNIVOROUS
1400203001,1,o,CARP
1230101002,1,c,TROUT
1412704701,1,c,OTHERCARNIV
1400205101,1,o,CARP
17320XXXXX,1,o,OTHER OMNIVOROUS
1760500201,1,c,OTHERCARNIV
1411808701,1,h,CATFISH
1411808702,1,c,OTHERCARNIV
1231200127,1,c,OTHERCARNIV
3161003201,0,0,BIVALVE
531XXXXXXX029,1,c,AMPH
3160800309,0,0,BIVALVE
14002018XX,1,o,OTHER OMNIVOROUS
7870501404,0,0,ALGAE
1703922402,1,c,OTHERCARNIV
3160600601,0,0,BIVALVE
1900201104,1,c,OTHERCARNIV
3162605001,0,0,BIVALVE
1230100907,1,c,SALMON
17039033XX,1,c,OTHERCARNIV
141XXXXXXX,1,o,OTHER OMNIVOROUS
14108078XX,1,h,CATFISH
1410807802,1,h,CATFISH
17610013XX,1,o,OTHER OMNIVOROUS
1771900103,1,c,OTHERCARNIV
1740700108,1,h,OTHER OMNIVOROUS
7871200420,0,0,ALGAE
231XXXXXXX,1,o,CRAB
13801XXXXX005,1,o,OTHER OMNIVOROUS
3161102901,0,0,BIVALVE
3161200804,0,0,BIVALVE
23111004XX,1,o,OTHER OMNIVOROUS
1702304405,1,c,OTHERCARNIV
12301XXXXX,1,c,SALMON
1480400202,1,c,OTHERCARNIV
1750102601,1,c,OTHERCARNIV
1411803007,1,c,OTHERCARNIV
1400215101,1,c,OTHERCARNIV
17039191XX,1,c,OTHERCARNIV
1703933001,1,c,OTHERCARNIV
22812023XX,1,o,OTHER OMNIVOROUS
17719002XX,1,c,OTHERCARNIV
3162605003,0,0,BIVALVE
1400205301,1,o,OTHER OMNIVOROUS
3162605101,0,0,BIVALVE
12802003XX,1,o,OTHERCARNIV
14118030XX032,1,h,CATFISH
1680200101,1,c,EEL
1830204802,1,c,FLATFISH
1705905103,1,h,TILAPIA
1230400801,1,o,OTHER OMNIVOROUS
1230900201,1,c,OTHERCARNIV
1400214401,1,o,OTHER OMNIVOROUS
18301XXXXX,1,c,OTHERCARNIV
1410703102,1,h,CATFISH
18302XXXXX,1,c,OTHERCARNIV
1703202729,1,c,OTHERCARNIV
1230100406,1,c,TROUT
1705905110,1,h,OTHER HERBIV
1703730304,1,c,OTHERCARNIV
3070300111,0,0,BIVALVE
2290400101,1,o,OTHER  CRUSTACEA
1900201105,1,c,OTHERCARNIV
3160700803,0,0,BIVALVE
3160700802,0,0,BIVALVE
31608XXXXX,0,0,BIVALVE
1732106502,1,h,OTHER HERBIV
2311100401,1,o,OTHER OMNIVOROUS
17002XXXXX,1,c,OTHERCARNIV
17023044XX,1,c,OTHERCARNIV
22901001XX,1,c,OTHERCARNIV
2291500501,1,c,OTHERCARNIV
2280100103,1,o,OTHER OMNIVOROUS
22801016XX,1,o,OTHER OMNIVOROUS
3160700811,0,0,BIVALVE
694XXXXXXX,0,0,INVERT
1705905202,1,h,OTHER HERBIV
3160700816,0,0,BIVALVE
1380401104,1,o,OTHER OMNIVOROUS
1170100102,1,c,OTHERCARNIV
1170100501,1,c,OTHERCARNIV
3161000108,0,0,BIVALVE
228XXXXXXX,1,c,OTHER  CRUSTACEA
14002024XX,1,h,OTHER HERBIV
2290302701,1,o,OTHER  CRUSTACEA
2280100125,1,o,FRESHWATER PRAWN
31611020XX,0,0,BIVALVE
3161200806,0,0,BIVALVE
1480401502,1,c,OTHERCARNIV
31626050XX,0,0,BIVALVE
1400202408,1,h,OTHER HERBIV
1230100905,1,c,SALMON
3160700809,0,0,BIVALVE
71101001XX,0,0,ALGAE
14108111XX,1,h,CATFISH
2311114002,1,o,CRAB
1411803001,1,h,CATFISH
1410703101,1,h,CATFISH
1700204244,1,c,OTHERCARNIV
1280100401,1,h,OTHER HERBIV
3160700306,0,0,BIVALVE
1700204274,1,c,OTHERCARNIV
1700204001,1,c,OTHERCARNIV
1700204208,1,c,OTHERCARNIV
1700212501,1,c,OTHERCARNIV
1700220801,1,c,OTHERCARNIV
1706543701,1,o,OTHER OMNIVOROUS
1702304411,1,c,OTHERCARNIV
1703202756,1,c,OTHERCARNIV
1381200131,1,h,OTHER HERBIV
3070300104,0,0,BIVALVE
3070300108,0,0,BIVALVE
1400201801,1,c,OTHERCARNIV
69302004XX,0,0,INVERT
6941400501,0,0,INVERT
1740700105,1,o,OTHER OMNIVOROUS
1702315101,1,c,OTHERCARNIV
3161100303,0,0,BIVALVE
3161102001,0,0,BIVALVE
31637001XX,0,0,BIVALVE
1650101216,1,o,OTHER OMNIVOROUS
2280700903,1,o,MARINE SHRIMP
1650100112,1,o,OTHER OMNIVOROUS
1703703802,1,c,OTHERCARNIV
18303XXXXX,1,c,FLATFISH
17023048XX,1,c,OTHERCARNIV
1700634501,1,c,OTHERCARNIV
2281202304,1,o,FRESHWATER PRAWN
1703710601,1,c,OTHERCARNIV
1703900801,1,c,OTHERCARNIV
1231200102,1,c,OTHERCARNIV
3161103702,0,0,BIVALVE
2290100105,1,c,OTHER  CRUSTACEA
7711000107,0,0,ALGAE
31607XXXXX,0,0,BIVALVE
1400201901,1,o,OTHER OMNIVOROUS
78720002XX,0,0,ALGAE
7872600208,0,0,ALGAE
7410800106,0,0,ALGAE
7410900101,0,0,ALGAE
1400211501,1,c,OTHERCARNIV
2290517301,1,o,OTHER  CRUSTACEA
2290517302,1,o,OTHER  CRUSTACEA
1400233301,1,c,OTHERCARNIV
1701001302,1,c,OTHERCARNIV
1750102602,1,c,OTHERCARNIV
1702304429,1,c,OTHERCARNIV
3160700813,0,0,BIVALVE
17006006XX017,1,c,OTHERCARNIV
77105002XX,0,0,ALGAE
1771900101,1,c,OTHERCARNIV
1210506001,1,o,OTHER OMNIVOROUS
1703933004,1,c,OTHERCARNIV
1780701402,1,c,OTHERCARNIV
19009XXXXX,1,o,OTHER OMNIVOROUS
1780100128,1,c,OTHERCARNIV
17801XXXXX,1,c,OTHERCARNIV
17501XXXXX,1,c,OTHERCARNIV
2280101601,1,o,MARINE SHRIMP
1703903303,1,c,OTHERCARNIV
14002016XX,1,h,OTHER HERBIV
3160500801,0,0,BIVALVE
1630200301,1,c,OTHERCARNIV
3162102504,0,0,BIVALVE
30702018XX,0,0,BIVALVE
3075100101,0,0,BIVALVE
1400202001,1,o,OTHER OMNIVOROUS
1480400301,1,c,OTHERCARNIV
1400201301,1,o,OTHER OMNIVOROUS
1280200401,1,o,OTHER OMNIVOROUS
1280700101,1,c,OTHERCARNIV
14132008XX,1,h,CATFISH
1700116707,1,c,OTHERCARNIV
2290100102,1,c,OTHER  CRUSTACEA
31606006XX021,0,0,BIVALVE
13804011XX,1,o,OTHER OMNIVOROUS
2020200101,1,o,MARINE SHRIMP
1703710602,1,c,OTHERCARNIV
1830200201,1,c,FLATFISH
199XXXXXXX009,1,o,OTHER OMNIVOROUS
3162605002,0,0,BIVALVE
3162605004,0,0,BIVALVE
17037009XX,1,o,OTHER OMNIVOROUS
1703707001,1,c,OTHERCARNIV
19002011XX,1,c,OTHERCARNIV
1703919103,1,c,OTHERCARNIV
1703933005,1,c,OTHERCARNIV
1230200501,1,c,OTHERCARNIV
3161102701,0,0,BIVALVE
1381200130,1,o,OTHER OMNIVOROUS
1170100103,1,c,OTHERCARNIV
12301009XX,1,c,SALMON
1830300708,1,c,FLATFISH
17006345XX,1,c,OTHERCARNIV
199XXXXXXX007,1,c,OTHERCARNIV
2290307601,1,o,OTHER  CRUSTACEA
22812XXXXX046,1,o,MARINE SHRIMP
3161100105,0,0,BIVALVE
3161100301,0,0,BIVALVE
14001011XX,1,o,OTHER OMNIVOROUS
14002001XX,1,c,OTHERCARNIV
31611XXXXX,0,0,BIVALVE
3161003203,0,0,BIVALVE
1703903305,1,c,OTHERCARNIV
1230102002,1,c,OTHERCARNIV
2281200705,1,o,FRESHWATER PRAWN
1700204219,1,c,OTHERCARNIV
1703930001,1,c,OTHERCARNIV
17059051XX001,1,h,OTHER HERBIV
7410400106,0,0,ALGAE
299XXXXXXX011,1,o,FRESHWATER PRAWN
1410805102,1,h,CATFISH
1410813001,1,h,OTHER HERBIV
1700829902,1,c,OTHERCARNIV
3164000101,0,0,BIVALVE
1701400202,1,c,OTHERCARNIV
2280100122,1,o,MARINE SHRIMP
31607002XX,0,0,BIVALVE
3160701102,0,0,BIVALVE
3161105502,0,0,BIVALVE
3161107501,0,0,BIVALVE
3161200503,0,0,BIVALVE
3161700601,0,0,BIVALVE
3161808901,0,0,BIVALVE
31623XXXXX,0,0,BIVALVE
1500100101,1,c,OTHERCARNIV
1400201401,1,h,OTHER HERBIV
1400201802,1,c,OTHERCARNIV
2280100130,1,o,FRESHWATER PRAWN
2280101609,1,o,MARINE SHRIMP
61841007XX,0,0,INVERT
31605XXXXX021,0,0,BIVALVE
1280200201,1,o,OTHER OMNIVOROUS
1413100101,1,h,CATFISH
1771900102,1,c,OTHERCARNIV
1771900107,1,c,OTHERCARNIV
17037XXXXX,1,c,OTHERCARNIV
741XXXXXXX,0,0,ALGAE
18303007XX,1,c,FLATFISH
3210200202,1,c,BIVALVE
32109005XX,1,c,BIVALVE
1705905105,1,h,OTHER HERBIV
32109XXXXX,1,c,BIVALVE
2290100108,1,c,OTHER  CRUSTACEA
31615002XX,0,0,BIVALVE
3160602301,0,0,BIVALVE
7871400101,0,0,ALGAE
1703202742,1,c,OTHERCARNIV
17032XXXXX,1,c,OTHERCARNIV
1703702801,1,c,OTHERCARNIV
1703906013,1,c,OTHERCARNIV
1703919116,1,c,OTHERCARNIV
1705905132,1,h,OTHER HERBIV
2311109001,1,o,CRAB
31616003XX,0,0,BIVALVE
13801XXXXX001,1,o,OTHER OMNIVOROUS
7710200201,0,0,ALGAE
31610028XX,0,0,BIVALVE
3163800701,0,0,BIVALVE
3070300114,0,0,BIVALVE
2290302702,1,o,OTHER  CRUSTACEA
7410100101,0,0,ALGAE
1650100128,1,o,OTHER OMNIVOROUS
1412808601,1,h,CATFISH
2280100117,1,o,FRESHWATER PRAWN
7110100102,0,0,ALGAE
2281201810,1,o,FRESHWATER PRAWN
307XXXXXXX,0,0,BIVALVE
3161100302,0,0,BIVALVE
1400202505,1,o,CARP
2281202309,1,o,FRESHWATER PRAWN
2280100108,1,o,MARINE SHRIMP
2281201801,1,o,FRESHWATER PRAWN
2280100121,1,o,FRESHWATER PRAWN
2280101604,1,o,MARINE SHRIMP
3161000117,0,0,BIVALVE
3160800316,0,0,BIVALVE
1430200207,1,c,EEL
2280100113,1,o,FRESHWATER PRAWN
7710500201,0,0,ALGAE
1700204240,1,c,OTHERCARNIV
1703929502,1,c,OTHERCARNIV
31604071XX,0,0,BIVALVE
3161104103,0,0,BIVALVE
1703202738,1,c,OTHERCARNIV
30701001XX,0,0,BIVALVE
77104003XX,0,0,ALGAE
78725003XX,0,0,ALGAE
17001025XX,1,c,OTHERCARNIV
1750102608,1,c,OTHERCARNIV
1700817601,1,c,OTHERCARNIV
1703701101,1,c,OTHERCARNIV
3160803602,0,0,BIVALVE
1750102610,1,c,OTHERCARNIV
1650104302,1,o,OTHER OMNIVOROUS
7710400101,0,0,ALGAE
3160800105,0,0,BIVALVE
1700600602,1,c,OTHERCARNIV
22901008XX,1,c,OTHER  CRUSTACEA
2312100501,1,o,CRAB
1230100901,1,c,TROUT
3070202301,0,0,BIVALVE
17037070XX,1,c,OTHERCARNIV
1412202302,1,h,CATFISH
1700208102,1,c,OTHERCARNIV
1650101202,1,o,OTHER OMNIVOROUS
17046036XX,1,h,OTHER HERBIV
30706002XX,0,0,BIVALVE
7872000205,0,0,ALGAE
6960900501,0,0,INVERT
1705950002,1,c,OTHERCARNIV
1702304814,1,c,OTHERCARNIV
3160700310,0,0,BIVALVE
799XXXXXXX005,0,0,ALGAE
17321XXXXX022,1,c,OTHERCARNIV
3163800601,0,0,BIVALVE
3070500211,0,0,BIVALVE
2281202334,1,o,OTHER OMNIVOROUS
1412804102,1,h,CATFISH
7871600403,0,0,ALGAE
3161600503,0,0,BIVALVE
7710200303,0,0,ALGAE
1703202714,1,c,OTHERCARNIV
77110001XX,0,0,ALGAE
3070300120,0,0,BIVALVE
7110100103,0,0,ALGAE
3160800311,0,0,BIVALVE
7711200101,0,0,ALGAE
3070600201,0,0,BIVALVE
1702304806,1,c,OTHERCARNIV
7410500104,0,0,ALGAE
2311101202,1,o,CRAB
23111012XX,1,o,CRAB
3164800101,0,0,BIVALVE
3160801001,0,0,BIVALVE
1170100109,1,c,OTHERCARNIV
23111XXXXX,1,o,CRAB
1400209701,1,c,OTHERCARNIV
2311109002,1,o,CRAB
1400202405,1,h,OTHER HERBIV
1400232403,1,o,OTHER OMNIVOROUS
14002161XX,1,o,OTHER OMNIVOROUS
1705905306,1,c,OTHERCARNIV
1280200302,1,c,OTHERCARNIV
1410707501,1,c,OTHERCARNIV
1410811101,1,c,OTHERCARNIV
1400201332,1,h,OTHER HERBIV
1703817217,1,c,OTHERCARNIV
170XXXXXXX,1,c,OTHERCARNIV
17059054XX,1,c,OTHERCARNIV
1380100901,1,c,OTHERCARNIV
1380101305,1,o,OTHER OMNIVOROUS
1380101315,1,o,OTHER OMNIVOROUS
13801013XX,1,o,OTHER OMNIVOROUS
1380400501,1,o,OTHER OMNIVOROUS
1380801703,1,c,OTHERCARNIV
1430901102,1,c,OTHERCARNIV
1740520601,1,c,OTHERCARNIV
1705927502,1,c,OTHERCARNIV
1381200120,1,h,OTHER HERBIV
17321XXXXX023,1,c,OTHERCARNIV
1400201201,1,o,OTHER OMNIVOROUS
1400202008,1,c,OTHERCARNIV
1400212401,1,c,OTHERCARNIV
1170100105,1,c,OTHERCARNIV
5120100114,1,c,AMPH
13808017XX,1,c,OTHERCARNIV
1412209001,1,c,OTHERCARNIV
1412209002,1,c,OTHERCARNIV
1705905134,1,o,OTHER OMNIVOROUS
1740526701,1,c,OTHERCARNIV
1700436801,1,c,OTHERCARNIV
1210503405,1,o,OTHER OMNIVOROUS
1400225701,1,o,OTHER OMNIVOROUS
1740700106,1,o,OTHER OMNIVOROUS
17059053XX,1,o,OTHER OMNIVOROUS
1710200103,1,c,OTHERCARNIV
1705935401,1,h,OTHER HERBIV
1381200201,1,h,OTHER HERBIV
1732000901,1,h,OTHER HERBIV
1703900802,1,c,OTHERCARNIV
1705905307,1,h,OTHER HERBIV
1480401001,1,c,OTHERCARNIV
1700830102,1,c,OTHERCARNIV
18308046XX,1,c,FLATFISH
1400201328,1,c,OTHERCARNIV
1400202426,1,o,OTHER OMNIVOROUS
1702021301,1,c,OTHERCARNIV
14002020XX,1,c,OTHERCARNIV
1400210001,1,c,OTHERCARNIV
1400206701,1,o,OTHER OMNIVOROUS
1703700921,1,c,OTHERCARNIV
1710200101,1,c,OTHERCARNIV
1707700104,1,c,OTHERCARNIV
1700118001,1,c,OTHERCARNIV
5310700502,1,c,AMPH
1702311412,1,c,OTHERCARNIV
3162100204,0,0,BIVALVE
1380101324,1,o,OTHER OMNIVOROUS
1480600421,1,c,OTHERCARNIV
1703906001,1,c,OTHERCARNIV
1170200201,0,o,OTHER OMNIVOROUS
1400205901,1,o,OTHER OMNIVOROUS
14002193XX,1,o,OTHER OMNIVOROUS
1400233503,1,c,OTHERCARNIV
14107075XX,1,h,OTHER HERBIV
1700401002,1,o,OTHER OMNIVOROUS
14122022XX,1,h,OTHER HERBIV
1290200401,1,c,OTHERCARNIV
5120500201,1,c,AMPH
1703202713,1,c,OTHERCARNIV
7411000101,0,0,ALGAE
6960900101,0,0,INVERT
1704929701,1,c,OTHERCARNIV
1700204215,1,c,OTHERCARNIV
1413000301,1,h,CATFISH
14108XXXXX,1,h,CATFISH
1703933006,1,c,OTHERCARNIV
17002042XX001 ,1,c,OTHERCARNIV
7871200421,0,0,ALGAE
74108002XX    ,0,0,ALGAE
7410200101,0,0,ALGAE
1703919101,1,c,OTHERCARNIV
1703919109,1,c,OTHERCARNIV
16501001XX    ,1,h,OTHER HERBIV
7870501502,0,0,ALGAE
1700204282,1,c,OTHERCARNIV
1750100201,1,c,OTHERCARNIV
7410800105,0,0,ALGAE
1702304706,1,c,OTHERCARNIV
2311114003,1,o,OTHER OMNIVOROUS
2290517305,1,o,OTHER OMNIVOROUS
14002043XX    ,1,o,CARP
14118XXXXX001 ,1,h,CATFISH
1705905404,1,c,OTHERCARNIV
1381200132,1,o,OTHER OMNIVOROUS
17023004XX     ,1,c,OTHERCARNIV
199XXXXXXX039  ,1,o,OTHER OMNIVOROUS
1703202704,1,c,OTHERCARNIV
30752001XX,0,0,INVERT
1782300902,1,c,OTHERCARNIV
1705832901,1,c,OTHERCARNIV
3160400508,0,0,INVERT
1230100902,1,c,SALMON
1430200208,1,c,EEL
3162300202,0,0,INVERT
